symbol,name,cap,close,score
KSHINTL,KSH INTERNATIONAL LIMITED,Microcap,863.6,6
KSL,Kalyani Steels Ltd,Microcap,879.95,6
KTKBANK,Karnataka Bank Ltd.,Microcap,273.4,6
LAURUSLABS,Laurus Labs Limited,Midcap,1517.4,6
LENSKART,Lenskart Solutions Limited,Midcap,514.95,6
LICHSGFIN,Lic Housing Finance Ltd.,Smallcap,564.0,6
LIKHITHA,Likhitha Infrastructure Limited,Microcap,265.66,6
LINDEINDIA,Linde India Limited,Midcap,7311.0,6
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Microcap,86.53,6
LLOYDSME,Lloyds Metals and Energy Limited,Midcap,1810.4,6
LTF,L&T Finance Limited,Midcap,310.75,6
LUPIN,Lupin Ltd,Midcap,2419.0,6
M&MFIN,Mahindra & Mahindra Financial Services Limited,Midcap,315.8,6
MACPOWER,Macpower CNC Machines Ltd.,Microcap,1346.9,6
MAHABANK,Bank of maharashtra,Midcap,91.44,6
MAHLOG,Mahindra Logistics Limited,Microcap,373.9,6
MANAPPURAM,Manappuram Finance Limited,Smallcap,324.2,6
MANBA,Manba Finance Limited,Microcap,137.36,6
MANGLMCEM,Mangalam Cement Ltd.,Microcap,913.25,6
MANINDS,Man Industries (India) Ltd,Microcap,581.65,6
MANKIND,Mankind Pharma Limited,Midcap,2545.6,6
MANORAMA,Manorama Industries Limited,Microcap,1655.3,6
MARICO,Marico Limited,Midcap,836.25,6
MARINE,Marine Electricals (India) Ltd.,Microcap,283.55,6
MARKSANS,Marksans Pharma Ltd.,Microcap,272.81,6
MAYURUNIQ,Mayur Uniquoters ltd.,Microcap,860.8,6
MEDANTA,Global Health Limited,Midcap,1313.8,6
MEESHO,Meesho Limited,Midcap,192.4,6
METROPOLIS,Metropolis Healthcare Limited,Microcap,540.15,6
MINDACORP,Minda Corporation Limited,Smallcap,696.8,6
MMP,MMP Industries Ltd.,Microcap,280.0,6
MODINATUR,Modi Naturals Limited,Microcap,440.75,6
MOLDTKPAC,Mold-Tek Packaging Limited,Microcap,719.35,6
MOREPENLAB,Morepen Laboratories Ltd.,Microcap,59.12,6
MOTILALOFS,Motilal Oswal Financial Services Limited,Midcap,951.3,6
MSTCLTD,MSTC Limited,Microcap,709.4,6
MUFIN,MUFIN GREEN FINANCE LIMITED,Microcap,133.86,6
MUTHOOTMF,Muthoot Microfin Limited,Microcap,214.37,6
