week_ending,sym,close,score,qual
2024-12-13,MEDIASSIST,620.8,6,True
2024-12-20,MEDIASSIST,594.7,1,False
2024-12-27,MEDIASSIST,583.75,1,False
2025-01-03,MEDIASSIST,608.7,6,True
2025-01-10,MEDIASSIST,592.05,1,False
2025-01-17,MEDIASSIST,598.1,1,False
2025-01-24,MEDIASSIST,570.7,0,False
2025-01-31,MEDIASSIST,576.05,2,False
2025-02-07,MEDIASSIST,562.1,0,False
2025-02-14,MEDIASSIST,490.75,0,False
2025-02-21,MEDIASSIST,484.15,0,False
2025-02-28,MEDIASSIST,451.7,0,False
2025-03-07,MEDIASSIST,460.05,1,False
2025-03-14,MEDIASSIST,439.45,0,False
2025-03-21,MEDIASSIST,443.65,2,False
2025-03-28,MEDIASSIST,455.1,3,False
2025-04-04,MEDIASSIST,468.2,2,False
2025-04-11,MEDIASSIST,455.9,0,False
2025-04-18,MEDIASSIST,449.35,0,False
2025-04-25,MEDIASSIST,445.2,0,False
2025-05-02,MEDIASSIST,441.0,0,False
2025-05-09,MEDIASSIST,442.2,2,False
2025-05-16,MEDIASSIST,468.1,3,False
2025-05-23,MEDIASSIST,496.85,5,False
2025-05-30,MEDIASSIST,495.35,4,False
2025-06-06,MEDIASSIST,495.4,4,False
2025-06-13,MEDIASSIST,491.2,1,False
2025-06-20,MEDIASSIST,473.05,0,False
2025-06-27,MEDIASSIST,500.0,5,False
2025-07-04,MEDIASSIST,526.65,6,True
2025-07-11,MEDIASSIST,567.6,6,True
2025-07-18,MEDIASSIST,549.15,4,True
2025-07-25,MEDIASSIST,530.2,3,True
2025-08-01,MEDIASSIST,524.8,3,True
2025-08-08,MEDIASSIST,541.0,5,True
2025-08-15,MEDIASSIST,535.05,3,True
2025-08-22,MEDIASSIST,562.55,6,True
2025-08-29,MEDIASSIST,505.8,0,False
2025-09-05,MEDIASSIST,518.15,0,False
2025-09-12,MEDIASSIST,507.75,0,False
2025-09-19,MEDIASSIST,537.2,6,True
2025-09-26,MEDIASSIST,528.05,2,True
2025-10-03,MEDIASSIST,527.7,2,True
2025-10-10,MEDIASSIST,526.65,2,True
2025-10-17,MEDIASSIST,553.55,6,True
2025-10-24,MEDIASSIST,540.95,3,True
2025-10-31,MEDIASSIST,569.4,6,True
2025-11-07,MEDIASSIST,493.8,0,False
2025-11-14,MEDIASSIST,451.85,0,False
2025-11-21,MEDIASSIST,462.9,0,False
2025-11-28,MEDIASSIST,474.95,0,False
2025-12-05,MEDIASSIST,470.05,0,False
2025-12-12,MEDIASSIST,469.25,0,False
2025-12-19,MEDIASSIST,437.0,0,False
2025-12-26,MEDIASSIST,446.25,0,False
2026-01-02,MEDIASSIST,467.7,3,False
2026-01-09,MEDIASSIST,431.9,0,False
2026-01-16,MEDIASSIST,436.65,0,False
2026-01-23,MEDIASSIST,420.3,0,False
2026-01-30,MEDIASSIST,398.8,0,False
2026-02-06,MEDIASSIST,403.65,0,False
2026-02-13,MEDIASSIST,403.45,0,False
2026-02-20,MEDIASSIST,404.85,0,False
2026-02-27,MEDIASSIST,370.7,0,False
2026-03-06,MEDIASSIST,323.3,0,False
2026-03-13,MEDIASSIST,302.0,0,False
2026-03-20,MEDIASSIST,325.15,1,False
2026-03-27,MEDIASSIST,303.4,0,False
2026-04-03,MEDIASSIST,321.6,2,False
2026-04-10,MEDIASSIST,356.55,3,False
2026-04-17,MEDIASSIST,368.8,4,False
2026-04-24,MEDIASSIST,342.85,0,False
2026-05-01,MEDIASSIST,345.05,0,False
2026-05-08,MEDIASSIST,376.8,4,False
2026-05-15,MEDIASSIST,384.8,3,False
2026-05-22,MEDIASSIST,371.85,2,False
2026-05-29,MEDIASSIST,368.6,2,False
2026-06-05,MEDIASSIST,357.25,0,False
2026-06-12,MEDIASSIST,373.0,4,False
2026-06-19,MEDIASSIST,364.35,2,False
2026-06-26,MEDIASSIST,363.15,0,False
2026-07-03,MEDIASSIST,374.7,4,False
2026-07-10,MEDIASSIST,357.8,0,False
2026-07-17,MEDIASSIST,356.45,0,False
2026-07-24,MEDIASSIST,340.05,0,False
2026-07-31,MEDIASSIST,358.0,3,False
2026-08-07,MEDIASSIST,364.95,4,False
2026-08-14,MEDIASSIST,348.7,0,False
2026-08-21,MEDIASSIST,360.75,4,False
2024-07-05,MEDICAMEQ,502.65,5,False
2024-07-12,MEDICAMEQ,486.85,4,False
2024-07-19,MEDICAMEQ,453.1,0,False
2024-07-26,MEDICAMEQ,449.75,0,False
2024-08-02,MEDICAMEQ,427.6,0,False
2024-08-09,MEDICAMEQ,404.6,0,False
2024-08-16,MEDICAMEQ,389.3,0,False
2024-08-23,MEDICAMEQ,408.55,1,False
2024-08-30,MEDICAMEQ,414.85,3,False
2024-09-06,MEDICAMEQ,417.25,3,False
2024-09-13,MEDICAMEQ,469.25,5,False
2024-09-20,MEDICAMEQ,462.95,5,False
2024-09-27,MEDICAMEQ,580.05,6,True
2024-10-04,MEDICAMEQ,572.65,6,False
2024-10-11,MEDICAMEQ,568.35,6,False
2024-10-18,MEDICAMEQ,544.25,6,False
2024-10-25,MEDICAMEQ,498.2,2,False
2024-11-01,MEDICAMEQ,549.35,6,False
2024-11-08,MEDICAMEQ,507.5,3,False
2024-11-15,MEDICAMEQ,459.05,0,False
2024-11-22,MEDICAMEQ,446.75,0,False
2024-11-29,MEDICAMEQ,443.45,0,False
2024-12-06,MEDICAMEQ,604.55,6,True
2024-12-13,MEDICAMEQ,565.9,5,False
2024-12-20,MEDICAMEQ,522.6,3,False
2024-12-27,MEDICAMEQ,514.45,2,False
2025-01-03,MEDICAMEQ,526.95,6,False
2025-01-10,MEDICAMEQ,478.7,0,False
